票站編號,票站名稱,數票總數,張超雄,楊岳橋,葛珮帆,陳克勤,張超雄,楊岳橋,葛珮帆,陳克勤
R3601,路德會梁鉅鏐小學,4918,558,525,825,121,0.1134607564,0.1067507117,0.1677511183,0.02460349736
R2101,保良局蕭漢森小學,5385,488,789,935,153,0.09062209842,0.1465181058,0.173630455,0.02841225627
Q2101,天主教鳴遠中學,6796,456,589,1209,177,0.06709829311,0.08666862861,0.177898764,0.0260447322
Q2201,港澳信義會慕德中學,6310,473,645,1159,166,0.07496038035,0.1022187005,0.1836767036,0.02630744849
R3001,吳氏宗親總會泰伯紀念學校,4425,425,451,786,89,0.09604519774,0.101920904,0.1776271186,0.02011299435
R0301,禾輋社區會堂,5687,458,506,1075,158,0.08053455249,0.08897485493,0.1890276068,0.02778266221
R3101,保良局莊啟程小學,7536,875,693,1490,262,0.1161093418,0.09195859873,0.1977176221,0.03476645435
Q0201,前西貢中心小學,3823,296,384,718,88,0.07742610515,0.100444677,0.1878106199,0.0230185718
Q0401,港澳信義會小學,2613,178,245,502,65,0.06812093379,0.09376195943,0.1921163414,0.02487562189
Q2001,景林鄰里社區中心,6630,394,538,1334,133,0.05942684766,0.08114630468,0.2012066365,0.02006033183
R3401,聖公會馬鞍山主風小學,6323,699,598,1297,116,0.1105487901,0.0945753598,0.2051241499,0.01834572197
R3301,德信中學,6863,829,757,1450,157,0.1207926563,0.1103016174,0.2112778668,0.02287629317
Q0501,新界西貢坑口區鄭植之中學,2728,202,250,604,83,0.07404692082,0.09164222874,0.2214076246,0.03042521994
R2501,香港中文大學校友會聯會陳震夏中學,7791,1009,680,1820,220,0.1295084071,0.0872801951,0.2336028751,0.02823771018
Q0101,西貢賽馬會大會堂,4748,345,474,1085,81,0.07266217355,0.099831508,0.2285172704,0.01705981466
R2401,宣道會台山陳元喜小學,7527,1022,594,1815,148,0.1357778663,0.07891590275,0.2411319251,0.01966254816
Q2501,香港道教聯合會圓玄學院第三中學,6711,429,625,1754,94,0.06392489942,0.09313068097,0.2613619431,0.01400685442
R3402,基督教香港信義會馬鞍山信義學校,1371,116,98,376,21,0.08460977389,0.07148067104,0.2742523705,0.01531728665
R1901,佛教黃允畋中學,6149,478,524,1942,78,0.07773621727,0.08521710847,0.3158237112,0.01268498943
Q0102,萬宜漁村公共會堂,916,55,89,301,11,0.06004366812,0.09716157205,0.3286026201,0.01200873362
R3602,香港浸會大學附屬學校王錦輝中小學,1214,57,84,483,33,0.04695222405,0.06919275124,0.3978583196,0.02718286656
